file,exists,kind,count,sources,recommendation,exports,absPath
"src/lib/api/index.ts",true,lib,33,"ts-prune",review,"import|monitored|API_CONSTANTS|ApiHelpers|ApiHealthChecker|DEFAULT_CONFIGS|apiExports","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/api/index.ts"
"src/components/ui/index.ts",true,component,32,"ts-prune",review,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/index.ts"
"src/validators/abacSchemas.ts",true,validator,32,"ts-prune",review,"departmentSchema|locationSchema|jobTitleSchema|usuarioABACSchema|usuarioUpdateABACSchema|abacSubjectSchema|abacObjectSchema|abacActionSchema","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/validators/abacSchemas.ts"
"src/types/next-auth-abac.d.ts",true,types,22,"ts-prune",review,"ABACContext|ABACResult|ABACRequest|ABACPolicy|ABACAccessLog|ABACauditEvent|ABACConfig|ABACStats","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/types/next-auth-abac.d.ts"
"src/types/next-auth.d.ts",true,types,22,"ts-prune",review,"ABACContext|ABACResult|ABACRequest|ABACPolicy|ABACAccessLog|ABACauditEvent|ABACConfig|ABACStats","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/types/next-auth.d.ts"
"src/lib/abac/types.ts",true,lib,20,"ts-prune",review,"Subject|Resource|Context|PolicyRule|RoleDefinition|AuthorizationRequest|AuthorizationResult|PolicyManager","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/abac/types.ts"
"src/types/notifications.ts",true,other,18,"ts-prune",review,"NotificationData|NotificationTemplate|NotificationPreferences|PushSubscription|NotificationQueue|CreateNotificationRequest|BulkNotificationRequest|EmailTemplate","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/types/notifications.ts"
"src/lib/performance/lazyComponents.tsx",true,lib,15,"ts-prune",review,"AdminUsersTable|AdminDashboard|CalculosAtuariais|AuditoriaPage|ABACAdmin|DashboardAdmin|PerfilUsuarioModerno|withLazyLoading","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/performance/lazyComponents.tsx"
"src/lib/performance/serviceWorkerUtils.ts",true,lib,13,"ts-prune",review,"isOffline|useOnlineStatus|useServiceWorkerStatus","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/performance/serviceWorkerUtils.ts"
"src/lib/performance/routePrefetch.tsx",true,lib,12,"ts-prune",review,"CRITICAL_ROUTES|ROLE_BASED_ROUTES|PREFETCH_CONFIG|useSmartPrefetch|useHoverPrefetch|useVisibilityPrefetch|SmartLink|SmartNavigation","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/performance/routePrefetch.tsx"
"src/lib/performance/imageOptimization.tsx",true,lib,11,"ts-prune",review,"IMAGE_SIZES|IMAGE_QUALITY|OptimizedImage|OptimizedAvatar|OptimizedBanner|generateResponsiveSizes|supportsWebP|supportsAVIF","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/performance/imageOptimization.tsx"
"src/lib/performance/cacheStrategy.tsx",true,lib,10,"ts-prune",review,"queryClient|STATIC_CACHE_CONFIG|DYNAMIC_CACHE_CONFIG|CRITICAL_CACHE_CONFIG|QUERY_KEYS|useOptimisticCache|useInvalidateCache|prefetchCriticalData","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/performance/cacheStrategy.tsx"
"src/lib/notification-service.ts",true,lib,9,"ts-prune",review,"UserInfo|NotificationWhereClause|NotificationOptions|NotificationPreferences|NotificationDeliveryResult|notificationService","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/notification-service.ts"
"src/lib/performance/lighthouseConfig.ts",true,lib,9,"ts-prune",review,"LIGHTHOUSE_CONFIG|CRITICAL_PAGES|CORE_WEB_VITALS_THRESHOLDS|analyzeLighthouseResult|evaluateMetrics|generatePerformanceReport|CI_CONFIG|validateCIResult","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/performance/lighthouseConfig.ts"
"src/styles/themes.ts",true,style,9,"ts-prune",review,"Theme|lightTheme|darkTheme|ThemeName|themes|defaultTheme|getThemeByName|getNextTheme","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/styles/themes.ts"
"src/components/ui/dropdown-menu.tsx",true,component,8,"ts-prune",review,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/dropdown-menu.tsx"
"src/components/ui/sidebar.tsx",true,component,8,"ts-prune",review,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/sidebar.tsx"
"src/lib/logger-winston-disabled.ts",true,lib,8,"ts-prune",review,"LogMeta|StructuredLogger|structuredLogger|structuredLogger|authLogger|auditLogger|performanceLogger|securityLogger","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/logger-winston-disabled.ts"
"src/components/ui/chart.tsx",true,component,7,"ts-prune",manual,"ChartConfig","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/chart.tsx"
"src/components/ui/pagination.tsx",true,component,7,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/pagination.tsx"
